Region,SalesRep,Month,CustomerRating,ComputerSales,AirConditionerSales,FridgeSales,TelevisionSales,Profit,CustomerSegment,SalesTargetAchieved,ComputerProfit,AirConditionerProfit,FridgeProfit,TelevisionProfit,ComputerDiscount%,AirConditionerDiscount%,FridgeDiscount%,TelevisionDiscount%
East,Eve,Jan,4,34,95,29,85,-11.05,Corporate,No,10.2,38,14.5,21.25,0,11,8,4
South,Charlie,Jan,3,30,30,49,53,110.75,Residential,Yes,9,12,24.5,13.25,4,17,16,11
South,Eve,Jan,5,147,69,82,101,195.95,Residential,Yes,44.1,27.6,41,25.25,0,6,16,2
East,Alice,Mar,,180,124,8,95,39.35,Residential,No,54,49.6,4,23.75,7,11,16,11
West,Eve,Feb,4,24,8,57,87,124.65,Corporate,Yes,7.2,3.2,28.5,21.75,6,0,15,14
South,Bob,Mar,3,57,5,99,57,136.85,Corporate,No,17.1,2,49.5,14.25,14,21,19,12
West,Diana,Jan,3,95,54,46,91,7.85,Residential,Yes,28.5,21.6,23,22.75,10,3,7,6
South,Charlie,Jan,4,158,114,20,86,64.5,Corporate,Yes,47.4,45.6,10,21.5,17,17,14,14
West,Diana,Jan,1,,143,18,103,,Residential,Yes,,57.2,9,25.75,13,14,0,2
East,Eve,Jan,3,125,78,14,27,47.45,Residential,Yes,37.5,31.2,7,6.75,26,2,18,14
South,Charlie,Feb,5,59,66,22,54,52.6,Corporate,No,17.7,26.4,11,13.5,8,6,14,11
East,Eve,Jan,4,160,85,47,113,56.75,Corporate,Yes,48,34,23.5,28.25,4,5,8,7
South,Bob,Feb,3,150,60,66,4,46,Commercial,Yes,45,24,33,1,22,14,4,8
East,Alice,Jan,AK-AK,78,115,61,88,126.9,Commercial,Yes,23.4,46,30.5,22,3,14,15,12
East,Charlie,Feb,1,13,25,95,23,64.15,Corporate,No,3.9,10,47.5,5.75,11,5,12,11
South,Bob,Mar,3,87,145,96,48,103.1,Commercial,No,26.1,58,48,12,28,7,15,1
South,Bob,Jan,4,18,13,92,83,-14.65,Corporate,Yes,5.4,5.2,46,20.75,0,7,10,2
South,Charlie,Feb,2,130,143,24,42,147.7,Commercial,Yes,39,57.2,12,10.5,29,21,12,11
North,Eve,Mar,1,124,74,99,3,72.05,Corporate,No,37.2,29.6,49.5,0.75,23,0,5,12
West,Bob,Jan,,172,133,49,91,209.05,Corporate,No,51.6,53.2,24.5,22.75,12,12,19,6
North,Diana,Jan,2,110,122,31,3,19.05,Residential,Yes,33,48.8,15.5,0.75,0,22,16,4
North,Bob,Jan,2,158,60,88,28,102.4,Corporate,No,47.4,24,44,7,2,23,4,9
East,Eve,Feb,,195,35,47,63,110.75,Residential,No,58.5,14,23.5,15.75,21,20,16,6
South,Eve,Feb,4,155,41,79,81,34.65,Residential,No,46.5,16.4,39.5,20.25,7,12,0,1
West,Diana,Mar,4,106,95,11,31,53.05,Commercial,No,31.8,38,5.5,7.75,23,10,4,13
East,Bob,Feb,5,90,118,26,10,4.7,Residential,No,27,47.2,13,2.5,17,3,4,13
North,Eve,Feb,1,52,132,17,49,33.15,Commercial,Yes,15.6,52.8,8.5,12.25,24,6,6,3
South,Charlie,Jan,4,104,126,38,86,86.1,Corporate,No,31.2,50.4,19,21.5,15,11,15,0
East,Alice,Jan,3,15,999999,15,94,400073.1,Residential,Yes,4.5,399999.6,7.5,23.5,19,12,17,14
South,Alice,Jan,5,76,40,93,113,82.55,Residential,No,22.8,16,46.5,28.25,19,21,5,4
East,Alice,Jan,3,149,36,46,21,134.35,Corporate,Yes,44.7,14.4,23,5.25,29,11,1,7
South,Bob,Jan,4,109,68,73,100,119.4,Residential,Yes,32.7,27.2,36.5,25,15,15,12,0
North,Diana,Jan,3,21,52,74,53,167.35,Residential,No,6.3,20.8,37,13.25,1,5,9,6
West,Eve,Jan,3,75,85,80,87,118.25,Residential,No,22.5,34,40,21.75,16,13,19,6
North,Charlie,Mar,4,11,64,78,102,97.4,Commercial,Yes,3.3,25.6,39,25.5,9,18,10,6
West,Charlie,Mar,4,152,145,38,76,180.6,Commercial,Yes,45.6,58,19,19,6,15,1,14
South,Bob,Mar,4,160,5,63,89,192.75,Corporate,Yes,48,2,31.5,22.25,26,3,7,0
East,Alice,Mar,3,166,69,83,54,125.4,Residential,No,49.8,27.6,41.5,13.5,9,4,18,11
North,Bob,Jan,AK-AK,90,37,42,57,18.05,Corporate,No,27,14.8,21,14.25,18,8,19,10
West,Diana,Mar,4,144,42,95,20,94.5,Commercial,Yes,43.2,16.8,47.5,5,19,23,16,2
North,Diana,Jan,5,165,29,29,113,199.85,Residential,No,49.5,11.6,14.5,28.25,26,2,15,10
West,Eve,Mar,4,151,63,3,49,169.25,Commercial,No,45.3,25.2,1.5,12.25,8,21,9,1
North,Eve,Feb,,181,105,36,106,172.8,Commercial,Yes,54.3,42,18,26.5,21,9,4,14
West,Diana,Mar,5,167,131,70,7,143.25,Commercial,No,50.1,52.4,35,1.75,29,16,13,14
West,Diana,Mar,3,169,45,90,29,174.95,Residential,Yes,50.7,18,45,7.25,16,18,18,4
South,Diana,Jan,4,79,61,23,48,-1.4,Residential,No,23.7,24.4,11.5,12,8,9,3,1
West,Bob,Mar,,124,52,35,93,23.75,Residential,Yes,37.2,20.8,17.5,23.25,8,11,19,12
South,Diana,Feb,4,97,76,9,13,82.25,Residential,Yes,29.1,30.4,4.5,3.25,4,22,15,13
West,Charlie,Jan,5,,60,67,3,,Commercial,Yes,,24,33.5,0.75,23,6,14,4
East,Alice,Jan,4,36,69,5,2,89.4,Residential,Yes,10.8,27.6,2.5,0.5,6,17,8,4
East,Diana,Mar,3,91,16,53,16,-35.8,Commercial,No,27.3,6.4,26.5,4,10,18,2,3
East,Alice,Jan,2,97,73,81,94,113.3,Residential,Yes,29.1,29.2,40.5,23.5,7,14,8,10
West,Bob,Jan,3,129,138,97,102,124.9,Residential,Yes,38.7,55.2,48.5,25.5,24,6,17,6
South,Alice,Jan,,33,93,56,6,54.6,Commercial,No,9.9,37.2,28,1.5,13,11,3,9
South,Bob,Jan,4,111,29,82,45,179.15,Residential,Yes,33.3,11.6,41,11.25,1,21,18,5
West,Charlie,Jan,3,43,5,76,71,50.65,Corporate,Yes,12.9,2,38,17.75,9,6,3,1
East,Bob,Jan,,177,135,95,5,80.85,Residential,No,53.1,54,47.5,1.25,20,9,8,14
East,Bob,Feb,3,56,53,61,56,134.5,Residential,No,16.8,21.2,30.5,14,23,24,0,3
South,Eve,Mar,3,33,999999,8,71,400007.25,Corporate,Yes,9.9,399999.6,4,17.75,15,23,0,12
East,Diana,Feb,4,74,6,31,98,124.6,Commercial,Yes,22.2,2.4,15.5,24.5,15,21,19,13
North,Diana,Jan,4,27,77,19,32,27.4,Residential,No,8.1,30.8,9.5,8,18,19,18,10
South,Charlie,Jan,1,53,149,62,49,86.75,Residential,Yes,15.9,59.6,31,12.25,26,9,2,6
East,Charlie,Mar,3,85,114,24,13,-8.65,Commercial,Yes,25.5,45.6,12,3.25,10,24,9,8
South,Diana,Feb,AK-AK,66,65,26,30,-11.7,Corporate,Yes,19.8,26,13,7.5,5,22,11,8
North,Eve,Mar,2,116,21,83,25,147.95,Corporate,Yes,34.8,8.4,41.5,6.25,5,4,17,11
South,Diana,Feb,3,165,53,87,85,88.45,Residential,No,49.5,21.2,43.5,21.25,6,17,13,2
South,Eve,Jan,3,133,80,53,60,99.4,Corporate,No,39.9,32,26.5,15,15,8,9,0
South,Charlie,Mar,1,160,135,52,59,52.75,Residential,No,48,54,26,14.75,12,15,9,8
South,Alice,Mar,3,171,47,13,85,155.85,Residential,No,51.3,18.8,6.5,21.25,26,6,17,7
North,Charlie,Jan,1,148,61,58,28,137.8,Corporate,Yes,44.4,24.4,29,7,2,24,0,6
West,Charlie,Mar,3,172,54,73,112,47.7,Residential,Yes,51.6,21.6,36.5,28,23,24,14,5
South,Bob,Feb,5,125,41,44,58,66.4,Residential,No,37.5,16.4,22,14.5,23,9,7,13
South,Bob,Feb,4,102,50,41,20,-12.9,Residential,Yes,30.6,20,20.5,5,8,4,2,14
East,Bob,Feb,2,51,19,71,34,159.9,Residential,Yes,15.3,7.6,35.5,8.5,23,6,17,9
South,Bob,Feb,1,37,84,50,5,22.95,Commercial,No,11.1,33.6,25,1.25,2,4,8,6
East,Eve,Jan,2,132,143,59,82,144.8,Commercial,Yes,39.6,57.2,29.5,20.5,5,14,15,10
West,Diana,Mar,3,33,28,23,60,-17.4,Residential,Yes,9.9,11.2,11.5,15,24,18,14,8
North,Alice,Feb,2,145,129,84,103,206.85,Commercial,No,43.5,51.6,42,25.75,16,9,4,5
North,Charlie,Jan,3,115,122,22,43,32.05,Corporate,No,34.5,48.8,11,10.75,2,7,12,14
West,Eve,Mar,2,127,84,17,57,143.45,Corporate,Yes,38.1,33.6,8.5,14.25,1,23,19,13
North,Alice,Mar,5,62,98,71,57,108.55,Residential,No,18.6,39.2,35.5,14.25,11,8,6,13
West,Eve,Jan,2,141,69,79,75,34.15,Corporate,Yes,42.3,27.6,39.5,18.75,23,10,15,9
West,Eve,Jan,2,109,92,53,54,23.5,Commercial,Yes,32.7,36.8,26.5,13.5,5,21,6,2
West,Charlie,Feb,5,14,92,78,81,138.25,Residential,No,4.2,36.8,39,20.25,9,1,15,12
North,Diana,Mar,2,58,149,64,112,60,Residential,No,17.4,59.6,32,28,10,2,12,13
East,Bob,Mar,1,107,130,87,45,232.85,Residential,Yes,32.1,52,43.5,11.25,15,12,16,2
West,Diana,Jan,3,39,93,39,86,18.9,Commercial,Yes,11.7,37.2,19.5,21.5,26,10,8,3
South,Charlie,Mar,3,81,65,8,37,160.55,Residential,Yes,24.3,26,4,9.25,15,9,11,9
North,Charlie,Feb,AK-AK,,999999,73,84,,Commercial,Yes,,399999.6,36.5,21,23,14,12,12
West,Charlie,Mar,2,72,98,28,48,46.8,Residential,Yes,21.6,39.2,14,12,17,5,8,13
West,Alice,Jan,3,184,55,10,118,88.7,Corporate,Yes,55.2,22,5,29.5,26,0,4,14
South,Diana,Jan,2,35,31,75,54,13.9,Residential,Yes,10.5,12.4,37.5,13.5,21,13,6,13
East,Diana,Feb,1,194,78,93,48,128.9,Corporate,Yes,58.2,31.2,46.5,12,22,17,0,9
East,Eve,Feb,5,46,65,6,112,20.8,Corporate,Yes,13.8,26,3,28,23,23,3,7
East,Eve,Mar,4,16,35,23,110,128.8,Residential,No,4.8,14,11.5,27.5,8,10,3,9
West,Eve,Mar,2,136,16,33,6,59.2,Residential,Yes,40.8,6.4,16.5,1.5,20,7,15,8
West,Charlie,Jan,3,177,50,23,34,5.1,Residential,Yes,53.1,20,11.5,8.5,26,21,4,13
West,Diana,Feb,2,101,36,27,63,62.95,Corporate,No,30.3,14.4,13.5,15.75,18,2,3,7
North,Charlie,Feb,5,176,65,17,78,145.8,Commercial,No,52.8,26,8.5,19.5,1,13,5,10
South,Alice,Feb,1,199,50,37,48,91.2,Residential,Yes,59.7,20,18.5,12,23,1,2,9
West,Eve,Mar,1,112,89,51,23,8.45,Residential,Yes,33.6,35.6,25.5,5.75,0,15,7,1
South,Charlie,Feb,3,62,84,45,84,42.7,Residential,No,18.6,33.6,22.5,21,25,5,16,3
South,Charlie,Jan,3,141,139,43,13,70.65,Corporate,Yes,42.3,55.6,21.5,3.25,15,0,17,3
East,Alice,Jan,3,117,8,39,47,21.55,Commercial,No,35.1,3.2,19.5,11.75,21,13,17,11
North,Bob,Mar,1,121,56,59,44,182.2,Corporate,Yes,36.3,22.4,29.5,11,17,9,11,1
West,Diana,Mar,2,162,116,44,105,82.25,Residential,Yes,48.6,46.4,22,26.25,2,5,0,12
East,Bob,Feb,3,16,40,49,32,59.3,Residential,Yes,4.8,16,24.5,8,23,8,11,7
East,Eve,Mar,2,165,58,94,26,49.2,Corporate,No,49.5,23.2,47,6.5,0,6,10,2
West,Charlie,Jan,5,76,123,63,114,231,Residential,No,22.8,49.2,31.5,28.5,5,24,12,1
South,Alice,Feb,1,117,131,16,53,115.75,Corporate,Yes,35.1,52.4,8,13.25,18,1,2,6
East,Alice,Jan,3,120,21,70,14,14.9,Residential,Yes,36,8.4,35,3.5,21,10,7,14
South,Diana,Feb,4,157,79,55,52,41.2,Residential,Yes,47.1,31.6,27.5,13,18,13,2,0
North,Bob,Mar,2,92,109,86,36,99.2,Commercial,Yes,27.6,43.6,43,9,10,4,16,14
South,Diana,Feb,AK-AK,133,121,36,8,61.3,Corporate,No,39.9,48.4,18,2,26,8,12,5
North,Charlie,Feb,5,148,47,78,40,64.2,Corporate,Yes,44.4,18.8,39,10,7,6,9,12
South,Diana,Jan,1,113,116,99,86,99.3,Residential,No,33.9,46.4,49.5,21.5,4,24,16,12
East,Alice,Jan,,76,119,26,22,65.9,Residential,No,22.8,47.6,13,5.5,19,13,2,2
East,Alice,Feb,3,16,31,22,16,11.2,Commercial,No,4.8,12.4,11,4,8,15,12,12
North,Eve,Mar,2,160,999999,71,91,400181.85,Commercial,No,48,399999.6,35.5,22.75,14,21,5,2
West,Eve,Mar,3,198,50,32,60,111.4,Commercial,Yes,59.4,20,16,15,20,15,13,14
North,Charlie,Jan,2,119,117,90,60,163.5,Residential,Yes,35.7,46.8,45,15,27,6,9,4
North,Bob,Mar,4,43,39,9,10,122.5,Corporate,Yes,12.9,15.6,4.5,2.5,13,9,19,13
South,Diana,Jan,4,115,136,38,25,116.15,Commercial,Yes,34.5,54.4,19,6.25,3,20,15,2
South,Charlie,Mar,5,156,84,40,31,97.15,Corporate,Yes,46.8,33.6,20,7.75,23,5,17,11
North,Eve,Feb,,67,84,82,21,88.95,Commercial,Yes,20.1,33.6,41,5.25,23,16,12,3
East,Diana,Jan,4,18,125,54,91,197.15,Residential,No,5.4,50,27,22.75,7,0,9,12
South,Eve,Jan,4,57,126,17,81,155.25,Corporate,Yes,17.1,50.4,8.5,20.25,19,1,5,12
West,Diana,Feb,2,124,85,48,33,123.45,Commercial,No,37.2,34,24,8.25,28,13,9,14
South,Bob,Jan,3,,123,25,31,,Corporate,No,,49.2,12.5,7.75,16,3,4,2
South,Charlie,Mar,1,57,62,14,114,122.4,Corporate,No,17.1,24.8,7,28.5,1,8,5,6
West,Diana,Mar,4,182,67,95,106,114.4,Commercial,Yes,54.6,26.8,47.5,26.5,19,22,6,2
North,Alice,Jan,3,34,104,46,90,118.3,Commercial,Yes,10.2,41.6,23,22.5,15,5,10,13
West,Alice,Mar,1,125,70,17,21,119.25,Residential,Yes,37.5,28,8.5,5.25,9,16,15,9
North,Diana,Jan,1,87,149,95,36,193.2,Residential,Yes,26.1,59.6,47.5,9,1,20,11,3
North,Diana,Feb,2,117,89,51,65,41.45,Residential,Yes,35.1,35.6,25.5,16.25,10,10,11,1
North,Diana,Jan,3,34,141,23,4,108.1,Residential,No,10.2,56.4,11.5,1,9,3,19,1
West,Alice,Feb,3,156,148,17,68,113.5,Residential,Yes,46.8,59.2,8.5,17,29,20,4,8
North,Alice,Mar,4,48,127,16,90,105.7,Residential,Yes,14.4,50.8,8,22.5,29,8,15,10
East,Diana,Feb,AK-AK,128,6,44,4,70.8,Residential,No,38.4,2.4,22,1,18,15,5,0
West,Eve,Mar,4,88,110,82,113,149.65,Residential,Yes,26.4,44,41,28.25,24,2,8,0
East,Eve,Jan,2,89,112,17,9,6.25,Residential,Yes,26.7,44.8,8.5,2.25,24,3,4,9
North,Bob,Mar,1,36,76,65,30,30.2,Residential,No,10.8,30.4,32.5,7.5,13,23,15,0
South,Charlie,Jan,3,113,130,70,115,62.65,Commercial,Yes,33.9,52,35,28.75,10,2,17,13
North,Eve,Jan,3,83,61,29,45,108.05,Commercial,No,24.9,24.4,14.5,11.25,8,12,18,2
East,Alice,Feb,1,77,85,89,4,77.6,Residential,Yes,23.1,34,44.5,1,6,18,11,1
East,Eve,Feb,2,156,145,95,69,152.55,Commercial,No,46.8,58,47.5,17.25,14,24,1,2
West,Bob,Feb,1,37,23,55,109,61.05,Corporate,Yes,11.1,9.2,27.5,27.25,19,20,9,13
South,Bob,Feb,3,132,11,54,23,133.75,Residential,Yes,39.6,4.4,27,5.75,16,0,11,4
West,Charlie,Mar,2,170,999999,65,16,400016.1,Commercial,Yes,51,399999.6,32.5,4,2,22,13,8
East,Eve,Mar,4,147,58,75,22,175.3,Corporate,Yes,44.1,23.2,37.5,5.5,14,22,17,1
North,Alice,Mar,5,92,108,55,101,80.55,Corporate,Yes,27.6,43.2,27.5,25.25,13,5,18,11
South,Alice,Jan,2,39,90,59,72,88.2,Residential,Yes,11.7,36,29.5,18,7,21,5,10
North,Diana,Mar,,31,86,54,48,22.7,Commercial,Yes,9.3,34.4,27,12,3,2,4,14
North,Alice,Mar,3,12,65,45,62,60.6,Residential,Yes,3.6,26,22.5,15.5,25,2,15,13
South,Charlie,Mar,4,110,91,9,97,54.15,Commercial,Yes,33,36.4,4.5,24.25,9,15,13,0
West,Charlie,Feb,4,114,6,44,119,151.35,Corporate,Yes,34.2,2.4,22,29.75,1,9,12,10
North,Alice,Mar,4,185,35,6,60,50.5,Commercial,No,55.5,14,3,15,13,24,1,5
East,Alice,Jan,3,11,37,71,102,76.1,Corporate,Yes,3.3,14.8,35.5,25.5,7,16,1,2
North,Diana,Feb,3,63,84,7,107,-2.25,Residential,Yes,18.9,33.6,3.5,26.75,22,6,11,12
South,Alice,Jan,1,15,15,77,80,56,Corporate,No,4.5,6,38.5,20,26,12,0,6
South,Diana,Mar,1,116,132,94,5,112.85,Commercial,No,34.8,52.8,47,1.25,9,10,18,5
South,Diana,Feb,2,177,139,82,80,158.7,Residential,Yes,53.1,55.6,41,20,24,9,15,10
West,Alice,Jan,2,132,132,43,7,86.65,Commercial,Yes,39.6,52.8,21.5,1.75,17,6,6,6
North,Bob,Mar,AK-AK,11,35,96,51,-8.95,Residential,Yes,3.3,14,48,12.75,14,23,6,12
West,Bob,Jan,1,120,130,6,65,37.25,Residential,Yes,36,52,3,16.25,4,5,15,12
West,Diana,Jan,4,11,51,4,9,-7.05,Corporate,No,3.3,20.4,2,2.25,21,23,5,4
South,Alice,Jan,5,102,111,69,82,141,Residential,Yes,30.6,44.4,34.5,20.5,12,0,17,0
South,Bob,Mar,,192,23,23,45,56.55,Commercial,No,57.6,9.2,11.5,11.25,17,16,0,13
West,Alice,Mar,3,,85,72,47,,Residential,Yes,,34,36,11.75,1,24,0,2
North,Alice,Jan,4,197,127,45,67,103.15,Residential,Yes,59.1,50.8,22.5,16.75,12,11,13,2
East,Alice,Feb,5,106,138,84,24,157,Corporate,No,31.8,55.2,42,6,29,3,5,6
West,Eve,Feb,3,120,111,71,92,205.9,Residential,Yes,36,44.4,35.5,23,13,2,5,14
North,Alice,Mar,2,15,53,11,10,85.7,Commercial,Yes,4.5,21.2,5.5,2.5,9,5,3,13
South,Eve,Mar,,136,77,86,73,56.85,Commercial,No,40.8,30.8,43,18.25,29,15,11,12
South,Diana,Mar,3,113,54,30,77,119.75,Commercial,No,33.9,21.6,15,19.25,3,12,17,2
North,Bob,Mar,3,156,85,28,48,74.8,Corporate,No,46.8,34,14,12,14,8,9,10
East,Bob,Mar,1,164,99,84,35,140.55,Commercial,Yes,49.2,39.6,42,8.75,7,10,2,4
South,Bob,Feb,1,10,16,85,54,82.4,Residential,Yes,3,6.4,42.5,13.5,14,19,2,3
South,Bob,Mar,5,42,999999,5,87,399961.45,Corporate,No,12.6,399999.6,2.5,21.75,13,24,7,3
South,Bob,Jan,4,49,58,75,111,42.15,Residential,Yes,14.7,23.2,37.5,27.75,28,20,0,12
North,Bob,Jan,2,41,122,97,81,66.85,Commercial,No,12.3,48.8,48.5,20.25,26,12,17,6
West,Bob,Feb,1,26,63,51,110,151,Corporate,Yes,7.8,25.2,25.5,27.5,20,22,14,0
South,Diana,Jan,3,135,7,19,71,165.55,Commercial,Yes,40.5,2.8,9.5,17.75,8,18,19,6
West,Alice,Feb,3,17,62,65,116,-2.6,Corporate,No,5.1,24.8,32.5,29,19,2,16,14
East,Charlie,Feb,2,66,61,57,16,133.7,Commercial,Yes,19.8,24.4,28.5,4,2,11,10,7
South,Eve,Jan,5,51,149,25,53,119.65,Corporate,Yes,15.3,59.6,12.5,13.25,25,18,12,2
South,Charlie,Mar,1,107,94,36,40,143.7,Corporate,Yes,32.1,37.6,18,10,14,7,19,14
East,Charlie,Jan,2,146,59,71,100,61.9,Residential,Yes,43.8,23.6,35.5,25,23,13,9,2
South,Alice,Jan,AK-AK,129,49,17,20,131.8,Residential,Yes,38.7,19.6,8.5,5,16,21,12,3
West,Alice,Feb,2,96,5,49,88,137.3,Residential,Yes,28.8,2,24.5,22,24,8,16,14
North,Alice,Jan,5,172,25,5,111,68.85,Commercial,Yes,51.6,10,2.5,27.75,15,24,0,12
West,Bob,Feb,4,190,25,85,69,63.75,Residential,No,57,10,42.5,17.25,3,23,19,5
North,Diana,Mar,4,63,56,30,45,104.55,Residential,Yes,18.9,22.4,15,11.25,10,16,15,13
North,Bob,Mar,1,93,86,5,6,150.3,Residential,No,27.9,34.4,2.5,1.5,24,5,15,6
West,Diana,Mar,1,34,71,6,92,-8.4,Corporate,Yes,10.2,28.4,3,23,7,3,2,0
West,Diana,Jan,2,76,117,90,69,130.85,Commercial,Yes,22.8,46.8,45,17.25,2,3,1,14
West,Charlie,Feb,3,199,48,33,49,44.65,Residential,Yes,59.7,19.2,16.5,12.25,18,18,5,12
West,Charlie,Mar,4,192,14,47,39,139.45,Residential,No,57.6,5.6,23.5,9.75,13,11,10,3
East,Diana,Feb,5,183,68,61,102,161.1,Residential,No,54.9,27.2,30.5,25.5,8,24,2,11
South,Diana,Feb,4,161,73,47,2,149.5,Residential,No,48.3,29.2,23.5,0.5,2,1,0,6
North,Bob,Mar,,55,72,77,107,101.55,Residential,Yes,16.5,28.8,38.5,26.75,3,16,10,10
West,Bob,Mar,4,31,32,39,39,47.35,Corporate,Yes,9.3,12.8,19.5,9.75,24,14,12,1
West,Charlie,Feb,2,148,120,67,118,60.4,Corporate,No,44.4,48,33.5,29.5,27,9,4,0
West,Alice,Mar,2,185,55,11,21,156.25,Residential,No,55.5,22,5.5,5.25,3,2,17,0
East,Diana,Feb,4,17,8,19,40,53.8,Residential,No,5.1,3.2,9.5,10,10,19,14,9
West,Bob,Feb,1,48,83,67,101,20.35,Residential,Yes,14.4,33.2,33.5,25.25,18,3,17,13
West,Charlie,Mar,1,172,21,5,82,90,Residential,No,51.6,8.4,2.5,20.5,29,21,14,13
West,Bob,Jan,3,58,112,28,54,119.7,Residential,Yes,17.4,44.8,14,13.5,15,0,19,5
South,Diana,Mar,5,,999999,55,112,,Residential,Yes,,399999.6,27.5,28,22,0,19,11
East,Diana,Jan,1,47,27,33,110,14.9,Residential,Yes,14.1,10.8,16.5,27.5,21,17,19,4
West,Eve,Feb,4,145,22,28,12,67.3,Commercial,Yes,43.5,8.8,14,3,16,3,6,0
North,Alice,Feb,5,63,133,25,81,17.85,Commercial,No,18.9,53.2,12.5,20.25,29,22,16,9
North,Eve,Jan,3,174,39,32,37,186.05,Commercial,No,52.2,15.6,16,9.25,9,21,7,2
North,Charlie,Feb,AK-AK,101,68,12,110,147,Residential,No,30.3,27.2,6,27.5,23,14,12,14
East,Bob,Jan,1,49,63,74,38,117.4,Corporate,No,14.7,25.2,37,9.5,16,24,15,10
East,Charlie,Jan,4,43,5,91,15,117.15,Corporate,Yes,12.9,2,45.5,3.75,15,22,9,6
North,Diana,Feb,4,105,135,66,7,134.25,Residential,No,31.5,54,33,1.75,19,20,13,11
West,Eve,Jan,5,88,71,24,78,125.3,Residential,Yes,26.4,28.4,12,19.5,21,21,5,8
East,Eve,Mar,3,136,41,17,50,-20.8,Commercial,No,40.8,16.4,8.5,12.5,5,9,19,12
North,Eve,Mar,1,26,33,58,65,110.25,Residential,No,7.8,13.2,29,16.25,6,24,6,8
North,Charlie,Feb,1,170,93,76,102,85.7,Residential,No,51,37.2,38,25.5,13,16,5,14
West,Diana,Feb,4,184,104,22,67,33.55,Commercial,Yes,55.2,41.6,11,16.75,10,24,16,5
South,Bob,Jan,1,119,126,49,101,146.85,Commercial,No,35.7,50.4,24.5,25.25,11,21,7,2
East,Bob,Jan,2,61,94,89,44,181.4,Residential,Yes,18.3,37.6,44.5,11,13,11,11,0
West,Charlie,Jan,3,127,136,55,31,47.75,Commercial,Yes,38.1,54.4,27.5,7.75,4,19,3,2
North,Eve,Jan,1,18,18,55,43,-35.15,Corporate,No,5.4,7.2,27.5,10.75,4,11,9,9
North,Alice,Mar,2,42,135,3,77,149.35,Residential,Yes,12.6,54,1.5,19.25,19,15,5,1
West,Charlie,Mar,3,197,89,4,48,119.7,Commercial,No,59.1,35.6,2,12,21,4,6,10
East,Charlie,Feb,2,122,25,60,82,122.1,Residential,Yes,36.6,10,30,20.5,22,15,7,4
South,Diana,Jan,1,158,30,21,81,74.15,Residential,Yes,47.4,12,10.5,20.25,25,16,2,7
South,Bob,Jan,4,195,45,64,81,112.75,Commercial,No,58.5,18,32,20.25,14,22,7,4
North,Charlie,Feb,5,94,126,80,61,220.85,Residential,Yes,28.2,50.4,40,15.25,25,14,14,0
East,Charlie,Jan,2,19,42,74,75,149.25,Residential,Yes,5.7,16.8,37,18.75,0,12,0,2
South,Eve,Jan,4,15,92,14,84,-26.7,Residential,Yes,4.5,36.8,7,21,24,7,12,11
East,Eve,Jan,2,124,15,28,10,75.7,Commercial,Yes,37.2,6,14,2.5,29,20,17,4
East,Alice,Jan,3,130,33,29,29,118.95,Commercial,No,39,13.2,14.5,7.25,23,1,14,6
North,Diana,Jan,5,150,64,31,48,146.1,Residential,Yes,45,25.6,15.5,12,22,7,6,4
South,Alice,Feb,4,74,65,17,98,52.2,Commercial,No,22.2,26,8.5,24.5,8,9,14,13
West,Eve,Jan,AK-AK,29,999999,48,81,400025.55,Residential,No,8.7,399999.6,24,20.25,2,6,2,9
North,Bob,Feb,1,66,82,3,118,33.6,Commercial,Yes,19.8,32.8,1.5,29.5,25,9,13,4
South,Eve,Jan,1,55,117,62,62,177.8,Residential,No,16.5,46.8,31,15.5,3,24,19,6
South,Diana,Mar,5,145,127,94,116,93.3,Commercial,No,43.5,50.8,47,29,15,3,3,12
South,Eve,Mar,2,19,146,59,106,171.1,Corporate,Yes,5.7,58.4,29.5,26.5,6,10,3,14
South,Diana,Mar,2,122,48,5,13,-1.45,Corporate,Yes,36.6,19.2,2.5,3.25,21,8,2,7
South,Diana,Mar,4,148,148,20,44,67.6,Residential,Yes,44.4,59.2,10,11,13,3,4,13
East,Diana,Feb,5,21,101,54,47,169.45,Corporate,No,6.3,40.4,27,11.75,15,2,10,7
North,Diana,Feb,5,147,81,62,103,219.25,Residential,No,44.1,32.4,31,25.75,28,10,7,6
East,Diana,Jan,2,162,144,36,64,201.2,Corporate,Yes,48.6,57.6,18,16,17,2,1,12
West,Bob,Mar,5,,59,98,91,,Residential,No,,23.6,49,22.75,15,17,15,13
South,Alice,Feb,1,186,55,95,118,148.8,Residential,No,55.8,22,47.5,29.5,15,18,9,2
North,Charlie,Jan,1,20,106,91,53,29.15,Residential,No,6,42.4,45.5,13.25,1,13,17,10
South,Alice,Jan,4,199,33,62,90,149.4,Residential,No,59.7,13.2,31,22.5,9,23,6,1
North,Diana,Feb,1,127,73,28,92,89.3,Commercial,Yes,38.1,29.2,14,23,6,10,4,0
East,Bob,Mar,2,173,84,74,77,83.75,Corporate,No,51.9,33.6,37,19.25,24,23,6,5
North,Eve,Jan,4,48,35,21,76,-3.1,Commercial,No,14.4,14,10.5,19,26,1,5,12
West,Bob,Mar,2,62,116,24,44,34,Commercial,No,18.6,46.4,12,11,14,1,0,8
West,Diana,Mar,1,65,50,95,28,162,Commercial,Yes,19.5,20,47.5,7,27,1,10,2
